Employee_ID,Gender,Years_Exp,Years_Seniority,Edu_Level,Perf,Job_Role,Job_Family,Job_Level,Job_Location,Market_Median,Salary,Bonus_FY,Total_Compensation
406354VI,Female,15.5,13.5,doctorate,3.2,Director,Leadership,Management-Level,"Seattle, WA",362132.88,223062.1,90000,313061.1
988376Z0,Male,12.9,0,doctorate,4.6,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,213324.5,95000.9,308323.8
80001LK7,Male,12,8.6,masters,1.4,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,230390.4,70000.5,300389.8
94541IJ4,Female,14.8,5.4,doctorate,2.3,Director,Leadership,Management-Level,"Austin, TX",283480.66,221557,77500.5,299057.5
66926XMI,Male,12.3,5.5,masters,3.1,Director,Leadership,Management-Level,"Seattle, WA",362132.88,212312.4,85000,297311.1
11049FUU,Male,14.1,0.8,masters,1.7,Director,Leadership,Management-Level,"New York, NY",444824.64,225074,67500.8,292574.6
56576FNR,Male,12.9,3.4,masters,2.5,Director,Leadership,Management-Level,"Dallas, TX",241897.16,213916.9,75000.8,288915.8
40826OCF,Female,13.4,2.2,masters,5.3,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,186809,100000.2,286808
76342ZG8,Male,14.6,2.1,masters,1.3,Director,Leadership,Management-Level,"San Francisco, CA",466448.06,219012.6,65000.9,284012.6
21412FD1,Female,12.2,10.1,doctorate,4.2,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,189764.6,90000.3,279764
85984ZME,Male,14.7,5.8,masters,4.4,Director,Leadership,Management-Level,"Denver, CO",269223.46,192116.7,87500.3,279616.3
497683FR,Female,10.5,1.8,masters,3.8,Director,Leadership,Management-Level,"Austin, TX",283480.66,196940.3,80000.4,276939.3
91169XW4,Male,11.6,9.3,masters,3.4,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,194349.6,82500,276849.1
68100JV6,Female,14.7,4,doctorate,5.3,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,179074.7,97500.3,276573.3
78229PHR,Female,13.2,4.9,masters,5.3,Sales Manager,Sales,Management-Level,"Seattle, WA",242209.32,173639.4,95000.7,268638.6
21890S1W,Male,13,10.6,masters,4,Marketing Manager,Marketing,Management-Level,"Los Angeles, CA",282080.41,180417.2,87500.1,267916.6
26687XHP,Female,11.2,4.2,masters,5.3,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,175306.7,92500,267805.8
53213DHH,Female,10.3,4.4,masters,3.9,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,187767.5,80000.1,267766.8
685107T2,Male,11.9,9.1,masters,4.5,Legal Counsel,Legal,Senior-Level,"San Francisco, CA",352888.51,217337,50000.1,267337.8
994821VV,Female,11.4,8.7,masters,2.4,Director,Leadership,Management-Level,"Dallas, TX",241897.16,196900.1,70000,266899.7
40600GM7,Female,11.6,1.9,masters,4.3,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,178692.8,87500.4,266192.3
19956T5J,Male,15.9,2.7,doctorate,3.8,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,183772.1,80000.2,263771.2
79640GFI,Female,15.1,1.2,doctorate,3.8,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,182834.3,80000.6,262834.6
44163SA8,Female,15.4,10.5,doctorate,3.8,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,185094.1,77500.8,262594
60723XXD,Female,10.3,3.4,doctorate,5.5,Sales Manager,Sales,Management-Level,"Seattle, WA",242209.32,168678.1,92500.7,261177.4
577152T7,Female,12.7,5.9,masters,3.6,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,180847.1,80000.3,260846.7
791061SQ,Male,11.5,1.1,masters,2.6,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,188212.4,72500.7,260711
62922ODT,Female,10.7,6.5,masters,3.2,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,180043.7,80000.2,260042.8
65321DWA,Male,14.8,9.6,masters,3.7,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,182402.5,77500.8,259901.2
89882Z9I,Female,13.1,0.7,masters,2.7,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,189764.3,70000.4,259764.3
240426EB,Female,12.7,9.6,masters,3.2,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,181393.7,77500.2,258892.6
24925FS1,Female,15.2,10.4,masters,5.3,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,166126.6,90000,256126.4
62660RL5,Male,11.9,0.7,masters,3.8,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,180728.7,75000.8,255727.3
58677WWZ,Male,12.6,10.5,doctorate,4.4,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,170209.4,85000.2,255208.4
105040DY,Female,15.6,2.7,masters,4.7,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,172157.3,82500.8,254657.7
61893CC0,Male,11.6,6.9,doctorate,4.9,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,169504.1,85000.7,254503.6
60741UF0,Female,11.9,9.5,doctorate,2.7,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,184000.1,70000,253999.9
85515360,Male,15.8,13.5,doctorate,3.2,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,177652.6,75000.7,252651.3
80963G2I,Male,6.2,2.2,bachelors,5.4,Legal Counsel,Legal,Senior-Level,"San Francisco, CA",352888.51,202274.3,50000.7,252274.9
50422008,Female,10.8,2,doctorate,3,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,174640.7,77500.6,252140.5
87667HMY,Male,10,2.4,doctorate,5.9,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,164462.2,87500.1,251962.1
38493E7K,Male,13.7,0.6,doctorate,4.9,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,173693.2,77500.3,251193.2
498295FZ,Male,12.2,5.3,doctorate,1.3,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,188212.8,62500.3,250711
28526H20,Male,10.1,5,masters,3.3,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,172928,77500.3,250427.4
61490CES,Male,14,11,doctorate,3,Sales Manager,Sales,Management-Level,"Los Angeles, CA",275425.69,172117.4,77500.4,249616.9
40472YVM,Male,14.6,7.5,doctorate,4.3,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,171973.3,77500.5,249473.9
456115TV,Male,10.4,0.3,masters,4.2,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,171973.2,77500.6,249473.9
78994M5Q,Male,12,11.8,doctorate,4.8,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,171973.1,77500.7,249473.6
43635J4C,Male,13.4,10.6,doctorate,4.9,Sales Manager,Sales,Management-Level,"Boston, MA",258102.32,169102.7,80000.9,249102.7
198620NV,Female,10.1,1.3,doctorate,1.7,Director,Leadership,Management-Level,"Atlanta, GA",255441.5,191237.8,57500.1,248737
27979HF6,Male,14.5,2.8,masters,4.7,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,168436.7,80000.8,248435.5
55170B0A,Female,15.6,12.9,doctorate,4.4,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,168077.3,80000,248076.6
25521XVL,Female,13.5,10.6,doctorate,4.5,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,168077,80000.2,248076.7
40568YR1,Male,13.5,0,doctorate,2.7,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,180461.5,67500.1,247961.9
72505OAT,Male,13.8,11.7,doctorate,5.6,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,165095.1,82500.3,247594.2
26269598,Female,6,1.6,bachelors,3.8,Legal Counsel,Legal,Senior-Level,"San Francisco, CA",352888.51,202274.1,45000.6,247274.4
95957SIX,Female,13.7,8.8,doctorate,5.3,Sales Manager,Sales,Management-Level,"Seattle, WA",242209.32,162225.8,85000.3,247224
3946239T,Male,10.8,5.7,masters,3,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,177133.9,70000.3,247132.7
13852QD6,Male,14.7,12.9,masters,2.9,Sales Manager,Sales,Management-Level,"Los Angeles, CA",275425.69,178054.7,67500,245554.6
37784ZUR,Female,10.9,4.8,doctorate,4.8,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,164909.7,80000.2,244909
44019GZQ,Female,13.7,12.8,doctorate,4.2,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,164519,80000.2,244519.1
36883JK1,Female,10.4,3.5,doctorate,3.9,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,169504.7,75000.9,244503.3
47235G8E,Male,15,13.3,doctorate,3.1,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,173693.8,70000.4,243693.5
955387PG,Male,13.7,3.8,doctorate,3.9,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,168339.1,75000.8,243338.7
3028994D,Female,10.3,7.4,doctorate,4.7,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,163134,80000.5,243134.6
85158OU7,Male,15.1,1.2,masters,2.1,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,180572.8,62500.9,243072.3
582229UA,Male,15.6,3.2,masters,2.9,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,175021,67500.1,242520.2
66088W7R,Male,9.9,3.4,bachelors,4.6,Legal Counsel,Legal,Senior-Level,"Chicago, IL",192174.13,197118.8,45000.7,242118.8
125777IK,Male,10.5,6.7,masters,3.3,Marketing Manager,Marketing,Management-Level,"Boston, MA",264338.48,169542.9,72500.7,242041
92280KW5,Male,13.1,1,masters,4.1,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,166814.8,75000.1,241814.8
12644OI7,Male,13.1,5.8,masters,2.6,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,178852.8,62500,241352.3
22858Z3K,Male,12.7,7.7,masters,2.5,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,178852.2,62500.9,241352.7
92549DWZ,Female,6.7,1.4,masters,3.3,Legal Counsel,Legal,Senior-Level,"San Francisco, CA",352888.51,196120.4,45000.6,241119.4
34872FXW,Male,13.3,6.6,masters,3.2,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,168096.9,72500.3,240595.8
49702ZDM,Female,12.1,8.9,masters,4.6,Marketing Manager,Marketing,Management-Level,"Dallas, TX",165699.86,162934.6,77500.3,240434
31058XL6,Female,11.6,7.4,masters,4.7,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,162731.6,77500.8,240231
23041IWZ,Male,12.3,11.6,doctorate,5.2,Marketing Manager,Marketing,Management-Level,"Chicago, IL",174001.13,154453.6,85000.9,239453.7
147117YL,Male,15.3,14.2,masters,4.9,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,159269.1,80000.9,239268.6
48051PCK,Female,11.8,3.2,doctorate,4,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,159231.4,80000.1,239230.1
84023L5J,Female,12.3,4.5,masters,4.4,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,161655.6,77500.4,239155.7
87193QGU,Female,13.9,2.1,doctorate,1.2,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,179074.7,60000.5,239073.2
83351IA1,Male,13.2,1.2,masters,3.5,Senior Project Manager,Product and Project Management,Management-Level,"Seattle, WA",218953.08,170616.6,67500.5,238115.3
23630NVI,Male,14.6,5,masters,3,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,170254.9,67500.2,237753.1
37690O8Y,Male,15.7,8.4,doctorate,2.7,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,172079,65000.7,237079.7
28212RXI,Female,11.2,2,masters,1.3,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,179542.4,57500.1,237041.3
54030YDI,Female,10.1,8.3,doctorate,3.8,Marketing Manager,Marketing,Management-Level,"Boston, MA",264338.48,164364.4,72500.2,236864.4
5.17E+06,Female,12.7,3,doctorate,3.5,Marketing Manager,Marketing,Management-Level,"Seattle, WA",248061.48,164285.9,72500.2,236784.3
35338GJ9,Male,13.3,0.9,doctorate,4.3,Marketing Manager,Marketing,Management-Level,"Dallas, TX",165699.86,159104.7,77500.2,236604
60611AWD,Female,10.3,9.2,doctorate,5.8,Marketing Manager,Marketing,Management-Level,"Seattle, WA",248061.48,154086.7,82500.2,236586.8
24695SXZ,Female,14,4.1,masters,3.5,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,166270.4,70000.1,236269.5
830166JD,Male,15.3,14,masters,3,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,168534.4,67500.5,236034.4
6605602N,Male,8,1.3,bachelors,5.9,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,188101.3,47500.6,235600
79069KFT,Male,12.5,6.7,bachelors,5.9,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,188101.7,47500.5,235600.8
69208YXD,Male,11.1,4.4,doctorate,3.8,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,162731,72500.9,235231.2
34609DDU,Female,14.4,3,doctorate,2.7,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,170092.8,65000.4,235092.2
13599CC0,Female,12.6,0.8,masters,4.6,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,157519.9,77500.3,235018.4
78653SOI,Female,14.6,2.2,doctorate,2.9,Sales Manager,Sales,Management-Level,"Seattle, WA",242209.32,169864.9,65000.2,234864
95868617,Female,14.8,13.9,doctorate,3.2,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,164734.6,70000.6,234734.7
28229EEX,Male,15.1,0.5,masters,2.6,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,169656.9,65000.2,234655.6
72891U43,Male,10.4,9.7,masters,2.5,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,169504.2,65000.1,234503.6
76798MIR,Male,13.5,3.2,doctorate,2.5,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,171691.4,62500.9,234191.5
34742EEA,Male,12,0.1,masters,4.5,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,161655.2,72500.6,234155.1
25340OX1,Male,13.2,7.8,doctorate,4,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,161655,72500.5,234155.3
82056WXU,Female,12.5,1.1,doctorate,4,Sales Manager,Sales,Management-Level,"Dallas, TX",161790.74,159090.8,75000.3,234090.2
63598CNE,Female,11.4,3.5,masters,4,Senior Project Manager,Product and Project Management,Management-Level,"Boston, MA",233320.08,158980.8,75000.2,233979.6
375686DQ,Male,15.6,0.6,doctorate,2.9,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,173693.9,60000.1,233693.3
56165T7D,Male,15.5,5.8,masters,5.9,Senior Project Manager,Product and Project Management,Management-Level,"Seattle, WA",218953.08,155992.8,77500.9,233491.1
13397GSM,Female,13.8,5.4,masters,4.4,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,158474.9,75000.3,233473.3
81208503,Male,11.4,6.4,doctorate,4.3,Financial Controller,Finance,Management-Level,"San Francisco, CA",258291.54,160652,72500.9,233151.1
31584FQE,Female,14.3,10.9,masters,5.9,Senior Project Manager,Product and Project Management,Management-Level,"Seattle, WA",218953.08,152742,80000.6,232741.3
214693FY,Male,13.4,10.7,masters,3.5,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,162731.2,70000.7,232731.6
72615FYU,Male,15.2,1.5,doctorate,4.7,Sales Manager,Sales,Management-Level,"Seattle, WA",242209.32,157138.3,75000.8,232137.2
68288ZWZ,Male,12.9,6.3,masters,2.3,Marketing Manager,Marketing,Management-Level,"Chicago, IL",174001.13,169554.5,62500.8,232053.7
73376HI4,Male,11.8,5.1,masters,2.7,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,166663.4,65000.9,231662.2
950421O5,Female,11.2,5.3,doctorate,3.5,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,161655.2,70000.6,231655.2
355092YY,Female,11.2,7.6,doctorate,3.9,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,161191.2,70000.2,231190.4
48949B3Q,Male,14.5,7.2,masters,4.5,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,155768,75000.6,230768.3
46768JV3,Male,9.4,1.2,doctorate,4.5,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,188101.2,42500.6,230600.1
16952ATZ,Male,7.3,6.3,bachelors,4.5,Legal Counsel,Legal,Senior-Level,"Denver, CO",203679.41,187979.9,42500,230478.6
90198M7G,Male,14.7,11.8,masters,3.1,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,165095.7,65000.2,230094.5
73651TF2,Male,11.8,1.4,doctorate,3.2,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,159571.7,70000.7,229570.2
84477U15,Male,12.7,0,masters,5.6,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,184518.7,45000.9,229517
189291WP,Male,12.5,1.9,masters,3,Marketing Manager,Marketing,Management-Level,"Boston, MA",264338.48,159260.5,70000.9,229259.4
50300IKW,Female,13.3,9.3,doctorate,4.5,Sales Manager,Sales,Management-Level,"Los Angeles, CA",275425.69,154140.3,75000.5,229140
48132SE2,Female,11.5,8.5,masters,2.8,Marketing Manager,Marketing,Management-Level,"Austin, TX",194184.61,166607.6,62500.3,229106.6
89701Y89,Female,14.4,12.6,doctorate,5,Sales Manager,Sales,Management-Level,"Boston, MA",258102.32,149023.6,80000.2,229023.5
643917UN,Male,12.1,2.6,doctorate,2.8,Senior Project Manager,Product and Project Management,Management-Level,"Boston, MA",233320.08,168956.9,60000.3,228956.7
28396C31,Male,13.9,12.9,doctorate,3.4,Financial Controller,Finance,Management-Level,"New York, NY",246317.76,163581.8,65000.5,228580.4
84500UKD,Male,11.4,7.5,masters,3.2,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,160848.7,67500.9,228347.4
153255YS,Female,9.6,6.7,doctorate,3.3,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,188101.5,40000,228100.6
529280BX,Male,15.4,1.9,doctorate,4.5,Sales Manager,Sales,Management-Level,"San Francisco, CA",311979.59,155426.2,72500,227925.8
78827ESL,Female,15,13.1,masters,1.1,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,172138.2,55000,227137.7
66189HVS,Female,13.9,1.6,doctorate,4.5,Sales Manager,Sales,Management-Level,"Seattle, WA",242209.32,152069.4,75000.7,227068
53385XU3,Male,11.5,0.4,doctorate,4.3,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,184518.9,42500,227017.6
49641FSI,Female,13.1,7.8,masters,4,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,151801.5,75000.5,226801.3
43166455,Male,15,10.1,masters,3.5,Marketing Manager,Marketing,Management-Level,"San Francisco, CA",319517.51,159181.6,67500.1,226681.6
15414D6R,Male,10.7,2,masters,3.4,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,161655.1,65000.6,226655.5
99380CXW,Male,14,7.2,doctorate,4.5,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,156496.5,70000.5,226495.9
65126WWP,Female,13.7,6.9,masters,1.8,Marketing Manager,Marketing,Management-Level,"Seattle, WA",248061.48,171391.6,55000.4,226390.4
744237S3,Male,11.5,6.9,masters,5.8,Sales Manager,Sales,Management-Level,"Atlanta, GA",170849.75,148852.4,77500.3,226352.3
304533I6,Male,10.4,9.6,masters,3.1,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,186309.7,40000.8,226309.5
66728QP9,Male,6.6,1,bachelors,3.4,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,186309.4,40000.2,226309.6
841741O6,Male,7.9,5.9,doctorate,3.3,Machine Learning Engineer,Data Science and Engineering,Senior-Level,"San Francisco, CA",293782.58,186309.6,40000.5,226309.4
71656PJE,Male,13.2,11.3,doctorate,4.4,Sales Manager,Sales,Management-Level,"Austin, TX",189603.49,151151.9,75000.7,226150
702829AQ,Female,10,5.3,masters,4.6,Senior Project Manager,Product and Project Management,Management-Level,"San Francisco, CA",282024.21,153572.9,72500.2,226072.3
49205Q40,Female,15.2,9.4,doctorate,5.5,Sales Manager,Sales,Management-Level,"Seattle, WA",242209.32,148564.6,77500.9,226063.6
